route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
6-0225,1,225,Saint-Grégoire (Jean-Paul II) <> Pacé (Pâtis Roussel),Complémentaire,3,,E30613,FFFFFF,4225
6-0226,1,226,Gévezé (Cheval Blanc) <> La Chapelle-des-Fougeretz <> Montgermont <> Pacé (Centre scolaire Pacé),Complémentaire,3,,4465AD,FFFFFF,4226
6-0227,1,227,Vezin-le-Coquet (Haie de Terre) <> Pacé (Centre scolaire Pacé),Complémentaire,3,,BCA3CE,FFFFFF,4227
6-0228,1,228,La Chapelle-des-Fougeretz (Besneraie) <> Montgermont <> Rennes (Lycée Mendès France),Complémentaire,3,,71BF44,1A171B,4228
6-0229,1,229,Bruz (Brossolette) <> Chavagne <> Mordelles (Mordelles Pâtis),Complémentaire,3,,FECC00,1A171B,4229
6-0230,1,230,Bruz (Aire du 8 Mai) <> Orgères <> Bourgbarré (Centre de Loisirs),Complémentaire,3,,009881,FFFFFF,4230
6-0231,1,231,Bruz (Brossolette) <> Pont-Péan <> Laillé (Gingouillère),Complémentaire,3,,E5006D,FFFFFF,4231
6-0232,1,232,Vern-sur-Seiche (Hauts de Gaudon) <> Vern-sur-Seiche (La Poste),Complémentaire,3,,009FE3,FFFFFF,4232
6-0233,1,233,Bourgbarré (Centre de Loisirs) <> Orgères <> Saint-Erblon (Collège Saint-Paul),Complémentaire,3,,4465AD,FFFFFF,4233
6-0234,1,234,Saint-Grégoire (Jean-Paul II) <> Pacé (Pont Amelin),Complémentaire,3,,FECC00,1A171B,4234
6-0235,1,235,Pont-Péan (Mouton Blanc) <> Laillé <> Orgères (L'Hermitière Village),Complémentaire,3,,FECC00,1A171B,4235
6-0236,1,236,Pacé (Centre scolaire Pacé) <> Parthenay-de-Bretagne <> Clayes (Clayes Centre),Complémentaire,3,,F29FC5,1A171B,4236
6-0237,1,237,Le Rheu (Collège Brassens) <> Chavagne (Croix Blanche),Complémentaire,3,,E30613,FFFFFF,4237
6-0238,1,238,Le Rheu (Collège Brassens) <> L'Hermitage <> La Chapelle-Thouarault (Ville aux Archers),Complémentaire,3,,BA67A6,FFFFFF,4238
